"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"J1667,""PAD_6"",""151mm"",""86.144mm"",""151mm"",""86.144mm"",""151mm"",""86.144mm"",""T"",""90.00"",""PIN"""
"J1666,""PAD_6"",""150mm"",""84.412mm"",""150mm"",""84.412mm"",""150mm"",""84.412mm"",""T"",""90.00"",""PIN"""
"J1665,""PAD_6"",""151mm"",""82.679mm"",""151mm"",""82.679mm"",""151mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1664,""PAD_6"",""150mm"",""80.947mm"",""150mm"",""80.947mm"",""150mm"",""80.947mm"",""T"",""90.00"",""PIN"""
"J1663,""PAD_6"",""151mm"",""79.215mm"",""151mm"",""79.215mm"",""151mm"",""79.215mm"",""T"",""90.00"",""PIN"""
"J1662,""PAD_6"",""150mm"",""77.483mm"",""150mm"",""77.483mm"",""150mm"",""77.483mm"",""T"",""90.00"",""PIN"""
"J1661,""PAD_6"",""151mm"",""75.751mm"",""151mm"",""75.751mm"",""151mm"",""75.751mm"",""T"",""90.00"",""PIN"""
"J1660,""PAD_6"",""150mm"",""70.555mm"",""150mm"",""70.555mm"",""150mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1659,""PAD_6"",""151mm"",""68.823mm"",""151mm"",""68.823mm"",""151mm"",""68.823mm"",""T"",""90.00"",""PIN"""
"J1658,""PAD_6"",""151mm"",""65.359mm"",""151mm"",""65.359mm"",""151mm"",""65.359mm"",""T"",""90.00"",""PIN"""
"J1657,""PAD_6"",""150mm"",""63.627mm"",""150mm"",""63.627mm"",""150mm"",""63.627mm"",""T"",""90.00"",""PIN"""
"J1656,""PAD_6"",""148mm"",""139.837mm"",""148mm"",""139.837mm"",""148mm"",""139.837mm"",""T"",""90.00"",""PIN"""
"J1655,""PAD_6"",""148mm"",""136.373mm"",""148mm"",""136.373mm"",""148mm"",""136.373mm"",""T"",""90.00"",""PIN"""
"J1654,""PAD_6"",""149mm"",""134.641mm"",""149mm"",""134.641mm"",""149mm"",""134.641mm"",""T"",""90.00"",""PIN"""
"J1653,""PAD_6"",""149mm"",""131.177mm"",""149mm"",""131.177mm"",""149mm"",""131.177mm"",""T"",""90.00"",""PIN"""
"J1652,""PAD_6"",""149mm"",""127.713mm"",""149mm"",""127.713mm"",""149mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1651,""PAD_6"",""148mm"",""125.981mm"",""148mm"",""125.981mm"",""148mm"",""125.981mm"",""T"",""90.00"",""PIN"""
