       x [mm]         y [mm]         z [mm]     KxRe [A/m]     KyRe [A/m]     KzRe [A/m]     KxIm [A/m]     KyIm [A/m]     KzIm [A/m]    Area [mm^2]  
    -0.866667        1.15473              0     0.00303135   -0.000168585              0     0.00167215    0.000250727             -0        0.34642
    -0.666667         1.7321     -0.0666667    0.000143219              0   4.74737e-005     0.00204037              0  -3.23492e-005            0.1
     -1.16667        1.44342      -0.133333   -0.000323031   -0.000559522     0.00198413     0.00116169     0.00201217   -0.000935383       0.100002
    -0.466667        1.44342           -0.2    -0.00173453  -8.91375e-005              0     0.00340203    0.000253489             -0       0.433025
    -0.866667        1.15473           -0.2    -0.00189684   -0.000186802              0     0.00280753     0.00048692             -0        0.34642
 -1.4803e-016        1.15473           -0.2    -0.00168238   5.95491e-011              0      0.0035407  -2.45303e-011             -0        0.34642
    -0.133333       0.577367           -0.2    -0.00169262  -1.57163e-005              0     0.00311154    0.000197603             -0        0.34642
     0.466667        1.44342           -0.2    -0.00173453   8.91376e-005             -0     0.00340203   -0.000253489             -0       0.433025
     0.866667        1.15473           -0.2    -0.00189684    0.000186802             -0     0.00280753    -0.00048692             -0        0.34642
      1.16667        1.44342     -0.0666667   -0.000210471    0.000364556    -0.00204008     0.00108354    -0.00187679     0.00076493       0.100002
     -1.66667      -0.577367     -0.0666667     0.00133403    -0.00231068       0.002063    0.000955246    -0.00165458  -9.30209e-005       0.100002
     0.466667       -1.44342           -0.2    -0.00109589    0.000305022              0     0.00227501    0.000235489             -0       0.433025
     -1.56667       0.288683           -0.2    -0.00198647   -0.000416018              0     0.00226406    0.000223254             -0        0.34642
 1.85037e-016       -1.15473              0     0.00343424  -2.91038e-011              0     0.00299644   1.45519e-011              0        0.34642
      9.39394       -9.69697              0              0              0              0              0              0              0       0.413223
           10       -9.69697      -0.277778              0              0              0              0              0              0       0.378788
      9.69697       -9.39394              0              0              0              0              0              0              0       0.413223
      9.69697       -8.48485              0              0              0              0              0              0              0       0.413223
      9.39394       -8.78788              0              0              0              0              0              0              0       0.413223
      8.48485       -7.87879              0              0              0              0              0              0              0       0.413223
      8.78788       -8.48485              0              0              0              0              0              0              0       0.413223
      7.87879       -8.48485              0              0              0              0              0              0              0       0.413223
      8.48485       -8.78788              0              0              0              0              0              0              0       0.413223
      7.87879       -9.39394              0              0              0              0              0              0              0       0.413223
      8.48485       -9.69697              0              0              0              0              0              0              0       0.413223
      7.87879            -10      -0.606061              0              0              0              0              0              0       0.413223
      8.48485            -10       -0.30303              0              0              0              0              0              0       0.413223
      8.48485            -10       -1.21212              0              0              0              0              0              0       0.413223
      8.78788            -10      -0.606061              0              0              0              0              0              0       0.413223
      9.39394            -10       -1.46465              0              0              0              0              0              0       0.413223
      9.69697            -10       -1.13636              0              0              0              0              0              0       0.378788
           10       -9.69697       -1.99495              0              0              0              0              0              0       0.378788
           10       -9.39394       -1.46465              0              0              0              0              0              0       0.413223
           10       -8.48485       -1.51515              0              0              0              0              0              0       0.413223
           10       -8.78788       -1.21212              0              0              0              0              0              0       0.413223
           10       -7.57576      -0.606061              0              0              0              0              0              0       0.413223
           10       -7.87879       -0.30303              0              0              0              0              0              0       0.413223
      9.69697       -6.66667              0              0              0              0              0              0              0       0.413223
      9.39394        -6.9697              0              0              0              0              0              0              0       0.413223
      8.48485       -6.06061              0              0              0              0              0              0              0       0.413223
      8.78788       -6.66667              0              0              0              0              0              0              0       0.413223
      7.57576       -6.06061              0              0              0              0              0              0              0       0.413223
      7.87879       -6.66667              0              0              0              0              0              0              0       0.413223
      6.66667       -6.06061              0              0              0              0              0              0              0       0.413223
       6.9697       -6.66667              0              0              0              0              0              0              0       0.413223
      6.06061       -6.66667              0              0              0              0              0              0              0       0.413223
      6.66667        -6.9697              0              0              0              0              0              0              0       0.413223
      6.06061       -7.57576              0              0              0              0              0              0              0       0.413223
      6.66667       -7.87879              0              0              0              0              0              0              0       0.413223
      6.06061       -8.48485              0              0              0              0              0              0              0       0.413223
      6.66667       -8.78788              0              0              0              0              0              0              0       0.413223
      6.06061       -9.39394              0              0              0              0              0              0              0       0.413223
      6.66667       -9.69697              0              0              0              0              0              0              0       0.413223
      6.06061            -10      -0.606061              0              0              0              0              0              0       0.413223
      6.66667            -10       -0.30303              0              0              0              0              0              0       0.413223
      6.06061            -10       -1.51515              0              0              0              0              0              0       0.413223
      6.66667            -10       -1.21212              0              0              0              0              0              0       0.413223
      6.06061            -10       -2.42424              0              0              0              0              0              0       0.413223
      6.66667            -10       -2.12121              0              0              0              0              0              0       0.413223
      6.66667            -10        -3.0303              0              0              0              0              0              0       0.413223
       6.9697            -10       -2.42424              0              0              0              0              0              0       0.413223
      7.57576            -10        -3.0303              0              0              0              0              0              0       0.413223
      7.87879            -10       -2.42424              0              0              0              0              0              0       0.413223
      8.48485            -10        -3.0303              0              0              0              0              0              0       0.413223
      8.78788            -10       -2.42424              0              0              0              0              0              0       0.413223
      9.39394            -10       -3.23232              0              0              0              0              0              0       0.413223
      9.69697            -10       -2.85354              0              0              0              0              0              0       0.378788
           10       -9.69697       -3.71212              0              0              0              0              0              0       0.378788
           10       -9.39394       -3.23232              0              0              0              0              0              0       0.413223
           10       -8.48485       -3.33333              0              0              0              0              0              0       0.413223
           10       -8.78788        -3.0303              0              0              0              0              0              0       0.413223
           10       -7.57576       -2.42424              0              0              0              0              0              0       0.413223
           10       -7.87879       -2.12121              0              0              0              0              0              0       0.413223
           10       -6.66667       -1.51515              0              0              0              0              0              0       0.413223
           10        -6.9697       -1.21212              0              0              0              0              0              0       0.413223
           10       -5.75758      -0.606061              0              0              0              0              0              0       0.413223
           10       -6.06061       -0.30303              0              0              0              0              0              0       0.413223
      9.69697       -4.84848              0              0              0              0              0              0              0       0.413223
      9.39394       -5.15152              0              0              0              0              0              0              0       0.413223
      8.48485       -4.24242              0              0              0              0              0              0              0       0.413223
      8.78788       -4.84848              0              0              0              0              0              0              0       0.413223
      7.57576       -4.24242              0              0              0              0              0              0              0       0.413223
      7.87879       -4.84848              0              0              0              0              0              0              0       0.413223
      6.66667       -4.24242              0              0              0              0              0              0              0       0.413223
       6.9697       -4.84848              0              0              0              0              0              0              0       0.413223
      5.75758       -4.24242              0              0              0              0              0              0              0       0.413223
      6.06061       -4.84848              0              0              0              0              0              0              0       0.413223
      4.84848       -4.24242              0              0              0              0              0              0              0       0.413223
      5.15152       -4.84848              0              0              0              0              0              0              0       0.413223
      4.24242       -4.84848              0              0              0              0              0              0              0       0.413223
      4.84848       -5.15152              0              0              0              0              0              0              0       0.413223
      4.24242       -5.75758              0              0              0              0              0              0              0       0.413223
      4.84848       -6.06061              0              0              0              0              0              0              0       0.413223
      4.24242       -6.66667              0              0              0              0              0              0              0       0.413223
      4.84848        -6.9697              0              0              0              0              0              0              0       0.413223
      4.24242       -7.57576              0              0              0              0              0              0              0       0.413223
      4.84848       -7.87879              0              0              0              0              0              0              0       0.413223
      4.24242       -8.48485              0              0              0              0              0              0              0       0.413223
